 (10/09/19|18:00): movie-this "the dark knight"
 (10/10/19|09:41): concert-this "cher"

 (10/10/19|09:44): concert-this "cher"

 (10/10/19|09:44): concert-this "cher"

 (10/10/19|09:48): concert-this "cher"

 (10/10/19|09:48): concert-this "cher"

 (10/10/19|09:49): concert-this "cher"

 (10/10/19|09:50): concert-this "cher"

 (10/10/19|09:50): concert-this "cher"

 (10/10/19|09:50): concert-this "cher"

 (10/10/19|09:51): concert-this "cher"

 (10/10/19|09:51): concert-this "cher"

 (10/10/19|09:52): concert-this "cher"

 (10/10/19|09:53): concert-this "cher"

 (10/10/19|09:53): concert-this "cher"

 (10/10/19|09:54): concert-this "cher"

 (10/10/19|09:55): concert-this "cher"

 (10/10/19|09:55): concert-this "cher"

 (10/10/19|09:56): concert-this "cher"

 (10/10/19|09:57): concert-this "cher"

 (10/10/19|09:57): concert-this "cher"

 (10/10/19|09:59): concert-this "cher"

 (10/10/19|10:01): concert-this "cher"

 (10/10/19|10:04): concert-this "cher"

 (10/10/19|10:05): concert-this "cher"

 (10/10/19|10:10): concert-this "cher"

 (10/10/19|10:14): concert-this "cher"

 (10/10/19|10:15): concert-this "cher"

 (10/10/19|10:21): concert-this "cher"

 (10/10/19|10:22): concert-this "cher"

 (10/10/19|10:22): concert-this "cher"

 (10/10/19|10:22): concert-this "cher"

 (10/10/19|10:26): concert-this "cher"

 (10/10/19|10:27): concert-this "cher"

 (10/10/19|10:27): concert-this "cher"

 (10/10/19|10:29): movie-this "the dark knight"

 (10/10/19|10:33): movie-this "the dark knight"

 (10/10/19|10:33): movie-this "the dark knight"

 (10/10/19|10:33): movie-this "the dark knight"

 (10/10/19|10:36): movie-this "the dark knight"

 (10/10/19|11:48): movie-this "the dark knight"

 (10/10/19|11:49): concert-this "cage the elephant"

 [10/10/19|11:53]: do-what-it-says ""

 [10/10/19|11:54]: do-what-it-says ""

 [10/10/19|11:55]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:56]: do-what-it-says ""

 [10/10/19|11:57]: do-what-it-says ""

 [10/10/19|11:59]: spotify-this-song ""

 [10/10/19|12:03]: spotify-this-song ""

 [10/10/19|12:05]: spotify-this-song ""

 [10/10/19|12:06]: spotify-this-song ""

 [10/10/19|12:09]: spotify-this-song ""

 [10/10/19|12:10]: spotify-this-song ""

 [10/10/19|12:10]: spotify-this-song ""

 [10/10/19|12:10]: spotify-this-song ""

 [10/10/19|12:10]: spotify-this-song ""

 [10/10/19|12:11]: spotify-this-song ""

 [10/10/19|12:12]: spotify-this-song ""

 [10/10/19|12:14]: spotify-this-song ""

 [10/10/19|12:15]: spotify-this-song ""

 [10/10/19|12:15]: spotify-this-song ""

 [10/10/19|12:15]: spotify-this-song ""

 [10/10/19|12:16]: spotify-this-song ""

 [10/10/19|12:16]: spotify-this-song ""

 [10/10/19|12:17]: spotify-this-song ""

 [10/10/19|12:17]: spotify-this-song ""

 [10/10/19|12:18]: spotify-this-song ""

 [10/10/19|12:18]: spotify-this-song ""

 [10/10/19|12:18]: spotify-this-song ""

 [10/10/19|12:19]: spotify-this-song ""

 [10/10/19|12:19]: spotify-this-song ""

 [10/10/19|12:20]: spotify-this-song ""

 [10/10/19|12:20]: spotify-this-song ""

 [10/10/19|12:20]: spotify-this-song ""

 [10/10/19|12:21]: spotify-this-song "social cues"

 [10/10/19|12:22]: spotify-this-song "social cues"

 [10/10/19|12:22]: spotify-this-song ""

 [10/10/19|12:24]: spotify-this-song ""

 [10/10/19|12:24]: spotify-this-song ""

 [10/10/19|12:24]: spotify-this-song ""

 [10/10/19|12:25]: spotify-this-song "social cues"

 [10/10/19|12:25]: spotify-this-song "social cues"

 [10/10/19|12:26]: spotify-this-song "social cues"

 [10/10/19|12:28]: spotify-this-song "social cues"
